================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۹۰۷_۱۶۰۰۰۰.wav
Total Speakers: 6 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5)
Total Turns   : 1529
================================================================================

[00:16:20.221 --> 00:16:23.444] patient_2
[00:16:24.187 --> 00:16:26.718] patient_2
[00:16:26.903 --> 00:16:28.304] patient_1
[00:16:30.937 --> 00:16:33.181] patient_1
[00:16:33.181 --> 00:16:33.603] patient_2
[00:16:33.738 --> 00:16:34.227] patient_1
[00:16:33.856 --> 00:16:35.425] patient_2
[00:16:35.425 --> 00:16:35.813] patient_1
[00:16:36.050 --> 00:16:36.843] patient_1
[00:16:38.969 --> 00:16:43.660] patient_2
[00:16:43.762 --> 00:16:47.137] patient_1
[00:16:48.233 --> 00:16:49.786] patient_1
[00:16:49.938 --> 00:17:01.042] patient_2
[00:16:57.835 --> 00:16:58.443] patient_1
[00:17:01.143 --> 00:17:01.615] patient_1
[00:17:02.864 --> 00:17:09.057] patient_1
[00:17:07.910 --> 00:17:09.614] patient_2
[00:17:10.002 --> 00:17:11.690] patient_2
[00:17:12.078 --> 00:17:13.327] patient_2
[00:17:14.272 --> 00:17:18.912] patient_2
[00:17:15.149 --> 00:17:16.448] patient_1
[00:17:18.153 --> 00:17:18.794] patient_1
[00:17:21.494 --> 00:17:26.759] patient_1
[00:17:27.468 --> 00:17:28.008] patient_1
[00:17:28.970 --> 00:17:29.797] patient_2
[00:17:30.539 --> 00:17:33.205] patient_2
[00:17:30.556 --> 00:17:31.163] patient_1
[00:17:33.813 --> 00:17:35.213] patient_2
[00:17:35.585 --> 00:17:38.420] patient_2
[00:17:35.990 --> 00:17:36.563] patient_1
[00:17:38.875 --> 00:17:39.601] patient_2
[00:17:41.137 --> 00:17:42.858] patient_2
[00:17:43.128 --> 00:17:44.326] patient_2
[00:17:44.697 --> 00:17:45.828] patient_2
[00:17:46.233 --> 00:17:50.367] patient_2
[00:17:51.869 --> 00:17:53.573] patient_2
[00:17:55.430 --> 00:17:56.965] patient_2
[00:17:57.860 --> 00:17:58.585] patient_2
[00:18:02.686 --> 00:18:09.031] patient_1
[00:18:10.010 --> 00:18:12.288] patient_1
[00:18:12.575 --> 00:18:16.355] patient_1
[00:18:15.933 --> 00:18:25.214] patient_2
[00:18:17.671 --> 00:18:18.245] patient_1
[00:18:18.818 --> 00:18:19.291] patient_1
[00:18:19.426 --> 00:18:20.860] patient_1
[00:18:54.712 --> 00:18:55.252] patient_2
[00:18:55.859 --> 00:18:58.660] patient_2
[00:19:08.954 --> 00:19:18.185] patient_2
[00:19:09.106 --> 00:19:34.317] doctor
[00:19:26.065 --> 00:19:27.010] patient_1
[00:19:30.419 --> 00:19:31.195] patient_2
[00:19:31.398 --> 00:19:36.916] patient_2
[00:19:35.532 --> 00:19:36.545] doctor
[00:19:48.948 --> 00:19:49.775] patient_2
[00:19:50.230 --> 00:19:59.967] patient_2
[00:19:50.348 --> 00:19:51.158] doctor
[00:19:52.390 --> 00:19:52.745] doctor
[00:19:53.707 --> 00:19:55.816] doctor
[00:20:00.318 --> 00:20:01.668] patient_1
[00:20:00.993 --> 00:20:02.039] doctor
[00:20:02.765 --> 00:20:05.684] patient_1
[00:20:06.055 --> 00:20:08.907] patient_1
[00:20:07.760 --> 00:20:18.509] doctor
[00:20:18.492 --> 00:20:19.707] patient_1
[00:20:20.399 --> 00:20:27.098] patient_1
[00:20:21.766 --> 00:20:22.238] doctor
[00:20:25.732 --> 00:20:26.423] doctor
[00:20:27.183 --> 00:20:28.162] patient_1
[00:20:29.528 --> 00:20:30.254] patient_1
[00:20:31.958 --> 00:20:34.051] patient_1
[00:20:34.051 --> 00:20:34.962] doctor
[00:20:35.553 --> 00:20:36.194] patient_1
[00:20:36.633 --> 00:20:38.472] patient_1
[00:20:39.232 --> 00:20:43.687] patient_1
[00:21:02.485 --> 00:21:04.257] patient_1
[00:21:07.244 --> 00:21:12.779] patient_1
[00:21:14.618 --> 00:21:15.563] patient_1
[00:21:19.968 --> 00:21:20.322] patient_1
[00:21:23.444 --> 00:21:30.397] patient_1
