================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۹۰۹_۱۶۰۰۰۰.wav
Total Speakers: 6 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5)
Total Turns   : 3521
================================================================================

[00:20:00.031 --> 00:20:13.312] patient_2
[00:20:02.191 --> 00:20:03.052] patient_3
[00:20:14.003 --> 00:20:17.142] patient_2
[00:20:17.142 --> 00:20:21.293] doctor
[00:20:22.576 --> 00:20:29.579] doctor
[00:20:29.967 --> 00:20:52.023] patient_2
[00:20:39.738 --> 00:20:41.830] patient_1
[00:20:42.370 --> 00:20:43.197] patient_1
[00:20:52.023 --> 00:20:52.782] doctor
[00:20:52.968 --> 00:20:55.583] doctor
[00:20:56.444 --> 00:20:58.216] doctor
[00:20:58.216 --> 00:21:01.169] patient_2
[00:21:01.169 --> 00:21:04.038] patient_3
[00:21:06.113 --> 00:21:13.876] patient_3
[00:21:13.977 --> 00:21:14.872] doctor
[00:21:14.197 --> 00:21:35.003] patient_3
[00:21:35.138 --> 00:21:43.475] patient_3
[00:21:43.559 --> 00:21:44.605] patient_3
[00:21:44.605 --> 00:21:45.871] patient_2
[00:21:46.192 --> 00:21:47.390] patient_2
[00:21:48.368 --> 00:21:49.027] patient_2
[00:21:50.815 --> 00:21:51.625] patient_2
[00:21:52.739 --> 00:21:53.414] patient_2
[00:21:53.498 --> 00:21:57.059] patient_2
[00:22:00.029 --> 00:22:01.025] patient_1
[00:22:04.433 --> 00:22:16.668] patient_2
[00:22:31.045 --> 00:22:31.484] patient_2
[00:22:32.362 --> 00:22:33.003] patient_2
[00:23:04.964 --> 00:23:06.770] patient_1
[00:23:07.225 --> 00:23:09.807] patient_1
[00:23:10.060 --> 00:23:11.984] patient_2
[00:23:12.355 --> 00:23:15.933] patient_1
[00:23:17.485 --> 00:23:25.400] patient_1
[00:23:26.699 --> 00:23:39.068] patient_1
[00:23:40.503 --> 00:23:42.038] patient_1
[00:23:42.072 --> 00:23:45.869] patient_1
[00:23:48.299 --> 00:23:49.413] patient_1
[00:23:51.809 --> 00:23:57.395] patient_1
[00:23:57.648 --> 00:23:59.977] patient_1
[00:23:59.977 --> 00:24:01.951] patient_2
[00:24:01.951 --> 00:24:05.967] patient_1
[00:24:05.967 --> 00:24:06.980] patient_2
[00:24:07.958 --> 00:24:18.488] patient_2
[00:24:19.433 --> 00:24:29.575] patient_2
[00:24:29.660 --> 00:24:38.249] patient_2
[00:24:39.143 --> 00:24:40.460] patient_2
[00:24:46.130 --> 00:24:46.822] patient_1
[00:24:53.335 --> 00:24:59.967] patient_1
[00:49:42.890 --> 00:49:50.028] doctor
[00:50:00.031 --> 00:50:09.295] doctor
[00:50:10.072 --> 00:50:25.225] patient_3
[00:50:26.153 --> 00:50:26.660] doctor
[00:50:26.947 --> 00:50:27.520] patient_1
[00:50:29.360 --> 00:50:32.549] patient_1
[00:50:36.278 --> 00:50:38.168] patient_1
[00:50:38.675 --> 00:50:51.044] patient_1
[00:50:47.872 --> 00:50:54.537] patient_2
[00:50:52.985 --> 00:50:53.423] doctor
[00:50:54.858 --> 00:50:59.026] patient_2
[00:50:59.026 --> 00:51:09.978] patient_3
[00:51:09.978 --> 00:51:17.234] patient_2
