================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۱۱_۱۳۰۰۰۰.wav
Total Speakers: 6 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5)
Total Turns   : 2183
================================================================================

[00:13:01.066 --> 00:13:07.023] patient_1
[00:13:07.023 --> 00:13:10.297] doctor
[00:13:08.997 --> 00:13:09.824] patient_1
[00:13:11.360 --> 00:13:14.549] doctor
[00:13:25.062 --> 00:13:29.230] doctor
[00:13:30.243 --> 00:13:35.862] doctor
[00:13:34.512 --> 00:13:35.255] patient_1
[00:13:39.794 --> 00:13:42.308] doctor
[00:13:39.895 --> 00:13:40.267] patient_1
[00:13:42.815 --> 00:13:44.232] patient_1
[00:13:44.485 --> 00:13:46.122] patient_1
[00:13:46.342 --> 00:13:47.995] patient_1
[00:13:46.612 --> 00:13:49.092] doctor
[00:13:52.366 --> 00:13:56.112] doctor
[00:13:53.665 --> 00:13:57.985] patient_1
[00:14:07.908 --> 00:14:09.038] doctor
[00:14:22.319 --> 00:14:24.125] doctor
[00:14:35.853 --> 00:14:36.224] doctor
[00:14:38.131 --> 00:14:38.654] doctor
[00:14:43.312 --> 00:14:46.687] patient_1
[00:14:47.193 --> 00:14:49.167] patient_1
[00:15:02.174 --> 00:15:02.714] patient_2
[00:15:07.034 --> 00:15:12.755] patient_2
[00:15:13.008 --> 00:15:21.057] patient_2
[00:15:18.442 --> 00:15:20.804] patient_1
[00:15:21.057 --> 00:15:22.610] patient_1
[00:15:22.610 --> 00:15:33.157] patient_2
[00:15:22.711 --> 00:15:24.128] patient_1
[00:15:33.460 --> 00:15:35.030] patient_2
[00:15:38.202 --> 00:15:39.991] patient_2
[00:15:40.008 --> 00:15:41.037] patient_2
[00:15:41.577 --> 00:15:44.902] patient_2
[00:15:45.830 --> 00:15:48.850] patient_2
[00:15:47.602 --> 00:15:48.007] doctor
[00:15:48.023 --> 00:15:48.547] doctor
[00:15:52.073 --> 00:15:54.925] patient_2
[00:15:54.942 --> 00:15:57.406] patient_2
