================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۲۶_۱۸۰۰۰۰.wav
Total Speakers: 5 (doctor, patient_1, patient_2, patient_3, patient_4)
Total Turns   : 4864
================================================================================

[00:30:37.055 --> 00:30:41.324] doctor
[00:30:44.800 --> 00:30:46.302] doctor
[00:30:47.062 --> 00:30:47.585] doctor
[00:30:48.462 --> 00:30:50.048] patient_1
[00:30:49.829 --> 00:30:51.280] doctor
[00:30:52.242 --> 00:30:55.364] doctor
[00:30:54.554 --> 00:30:54.976] patient_1
[00:30:56.090 --> 00:30:58.030] doctor
[00:31:02.384 --> 00:31:03.042] patient_1
[00:31:04.156 --> 00:31:04.831] patient_1
[00:31:05.422 --> 00:31:07.160] patient_1
[00:31:07.750 --> 00:31:09.809] patient_1
[00:31:10.535 --> 00:31:16.255] patient_1
[00:31:17.977 --> 00:31:20.238] patient_1
[00:31:21.655 --> 00:31:22.465] patient_1
[00:31:22.820 --> 00:31:23.917] patient_1
[00:31:25.216 --> 00:31:27.427] patient_1
[00:31:29.789 --> 00:31:32.472] patient_1
[00:31:40.522 --> 00:31:43.390] patient_1
[00:31:43.778 --> 00:31:46.867] patient_1
[00:31:47.035 --> 00:31:48.436] patient_1
[00:31:48.773 --> 00:31:51.389] patient_1
[00:31:51.777 --> 00:31:52.520] patient_1
[00:31:52.992 --> 00:31:54.916] patient_1
[00:31:57.903 --> 00:31:59.843] doctor
[00:32:00.282 --> 00:32:04.012] patient_1
[00:32:05.075 --> 00:32:05.581] patient_1
[00:32:07.387 --> 00:32:08.163] patient_1
[00:32:08.568 --> 00:32:09.901] patient_1
[00:32:11.875 --> 00:32:13.563] patient_1
[00:32:15.335 --> 00:32:17.495] patient_1
[00:32:17.731 --> 00:32:18.845] patient_1
[00:32:19.165 --> 00:32:20.515] patient_1
[00:32:21.106 --> 00:32:24.380] patient_1
[00:32:25.291 --> 00:32:27.046] patient_1
[00:32:27.586 --> 00:32:31.028] patient_1
[00:32:29.628 --> 00:32:30.117] doctor
[00:32:31.450 --> 00:32:31.872] patient_1
[00:32:32.463 --> 00:32:37.053] patient_1
[00:32:37.222 --> 00:32:42.537] patient_1
[00:32:38.048 --> 00:32:38.538] doctor
[00:32:41.103 --> 00:32:42.284] doctor
[00:32:44.073 --> 00:32:45.305] patient_1
