================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۱۰_۲۰۰۰۰۰.wav
Total Speakers: 5 (doctor, patient_1, patient_2, patient_3, patient_4)
Total Turns   : 1205
================================================================================

[00:14:32.123 --> 00:14:32.933] doctor
[00:14:33.001 --> 00:14:33.423] doctor
[00:14:38.907 --> 00:14:39.262] doctor
[00:14:42.181 --> 00:14:50.872] patient_2
[00:14:46.045 --> 00:14:47.395] patient_1
[00:14:51.800 --> 00:14:53.555] patient_2
[00:14:53.656 --> 00:14:59.967] patient_2
[00:14:59.225 --> 00:14:59.815] doctor
[00:15:00.031 --> 00:15:10.628] patient_1
[00:15:10.679 --> 00:15:12.502] patient_1
[00:15:10.848 --> 00:15:12.788] doctor
[00:15:12.856 --> 00:15:27.132] doctor
[00:15:17.142 --> 00:15:20.602] patient_1
[00:15:21.918 --> 00:15:23.234] patient_1
[00:15:24.382 --> 00:15:25.377] patient_1
[00:15:27.132 --> 00:15:34.760] patient_1
[00:15:35.502 --> 00:15:36.413] patient_1
[00:15:37.021 --> 00:15:45.475] doctor
[00:15:40.548 --> 00:16:05.320] patient_1
[00:15:52.630 --> 00:15:53.204] doctor
[00:15:59.718 --> 00:16:02.840] doctor
[00:16:03.683 --> 00:16:04.713] doctor
[00:16:05.590 --> 00:17:18.119] doctor
[00:16:18.922 --> 00:16:20.896] patient_1
[00:17:12.162 --> 00:17:19.047] patient_1
[00:17:19.975 --> 00:17:34.437] doctor
[00:17:30.556 --> 00:17:31.349] patient_1
[00:17:33.560 --> 00:17:34.117] patient_1
[00:17:35.129 --> 00:18:12.980] doctor
[00:17:45.490 --> 00:17:45.997] patient_1
[00:18:13.604 --> 00:18:31.036] doctor
[00:18:31.036 --> 00:18:34.968] patient_1
[00:18:31.357 --> 00:18:32.977] doctor
[00:18:33.280 --> 00:18:33.972] doctor
[00:18:34.968 --> 00:18:36.402] doctor
[00:18:36.655 --> 00:18:45.683] doctor
[00:18:45.683 --> 00:18:46.038] patient_1
[00:18:46.038 --> 00:19:12.329] doctor
[00:18:56.905 --> 00:19:00.517] patient_1
[00:19:09.680 --> 00:19:14.793] patient_1
[00:19:15.164 --> 00:19:35.347] doctor
[00:19:29.930 --> 00:19:31.128] patient_1
[00:19:32.579 --> 00:19:39.093] patient_1
[00:19:38.435 --> 00:19:59.967] doctor
[00:19:43.852 --> 00:19:46.045] patient_1
[00:19:48.458 --> 00:19:50.315] patient_1
[00:19:50.365 --> 00:19:53.032] patient_1
[00:19:57.588 --> 00:19:59.967] patient_1
[00:20:00.031 --> 00:20:21.023] patient_4
[00:20:17.834 --> 00:20:19.943] patient_3
[00:20:19.943 --> 00:20:23.352] patient_2
[00:20:21.023 --> 00:20:22.070] doctor
[00:20:24.145 --> 00:20:25.023] patient_2
[00:20:25.495 --> 00:20:26.592] patient_2
[00:20:25.512 --> 00:20:34.422] doctor
[00:20:29.495 --> 00:20:38.978] patient_1
[00:20:38.978 --> 00:20:44.041] patient_3
[00:20:44.648 --> 00:20:52.850] patient_3
[00:26:10.973 --> 00:26:11.648] doctor
[00:26:13.555 --> 00:26:26.380] doctor
[00:26:28.793 --> 00:26:29.620] doctor
[00:26:32.303 --> 00:26:35.982] doctor
[00:26:38.227 --> 00:26:45.820] doctor
[00:26:38.817 --> 00:26:39.998] patient_1
[00:26:45.871 --> 00:26:56.266] doctor
[00:26:56.502 --> 00:27:11.386] doctor
[00:27:14.643 --> 00:27:19.520] doctor
[00:27:21.275 --> 00:27:25.713] doctor
[00:27:26.236 --> 00:27:54.451] doctor
[00:27:26.725 --> 00:27:27.620] patient_1
[00:27:35.888 --> 00:27:36.310] patient_1
[00:27:40.073 --> 00:27:45.018] patient_1
[00:27:50.030 --> 00:27:50.570] patient_1
[00:27:54.772 --> 00:28:13.030] doctor
[00:27:55.480 --> 00:27:55.970] patient_1
[00:28:14.093 --> 00:28:29.855] doctor
[00:28:17.333 --> 00:28:18.498] patient_1
[00:28:18.835 --> 00:28:19.966] patient_1
[00:28:26.530 --> 00:28:28.960] patient_1
[00:29:34.267 --> 00:29:36.292] doctor
[00:29:37.287 --> 00:29:39.160] doctor
[00:29:41.607 --> 00:29:43.362] doctor
[00:29:43.936 --> 00:29:47.497] doctor
[00:29:48.914 --> 00:29:51.293] doctor
[00:29:52.272 --> 00:29:53.707] doctor
[00:29:56.845 --> 00:29:58.381] doctor
[00:30:01.313 --> 00:30:04.503] patient_1
[00:30:01.870 --> 00:30:02.647] doctor
[00:30:05.330 --> 00:30:08.401] patient_1
[00:30:09.700 --> 00:30:12.265] patient_1
[00:30:15.337 --> 00:30:20.163] patient_1
[00:30:19.252 --> 00:30:19.673] doctor
[00:30:24.888 --> 00:30:35.553] patient_1
[00:30:39.198 --> 00:30:42.961] patient_1
[00:30:46.420 --> 00:30:47.112] patient_1
[00:30:52.411 --> 00:31:02.654] patient_1
[00:31:04.797 --> 00:31:07.193] patient_1
[00:31:08.881 --> 00:31:10.872] patient_1
[00:31:12.847 --> 00:31:18.382] patient_1
[00:31:20.930 --> 00:31:21.588] patient_1
[00:32:57.927 --> 00:32:59.108] doctor
[00:32:59.564 --> 00:33:07.293] doctor
[00:33:08.390 --> 00:33:10.027] doctor
[00:34:15.974 --> 00:34:18.995] patient_1
[00:34:21.070 --> 00:34:22.943] patient_1
[00:34:25.120 --> 00:34:28.816] patient_1
[00:34:37.237 --> 00:34:38.097] patient_1
[00:34:44.898 --> 00:34:48.931] patient_1
[00:34:44.932 --> 00:34:46.754] doctor
[00:34:50.669 --> 00:34:52.745] patient_1
[00:35:01.718 --> 00:35:03.035] doctor
[00:35:08.857 --> 00:35:10.477] doctor
[00:35:11.033 --> 00:35:12.012] doctor
[00:35:14.257 --> 00:35:14.763] doctor
[00:35:15.050 --> 00:35:16.501] doctor
[00:35:17.969 --> 00:35:18.830] doctor
[00:35:19.505 --> 00:35:20.332] doctor
[00:35:22.188 --> 00:35:23.521] doctor
[00:35:24.972 --> 00:35:28.263] doctor
[00:35:25.057 --> 00:35:26.035] patient_1
[00:35:28.803 --> 00:35:31.672] doctor
[00:35:32.431 --> 00:35:32.785] doctor
[00:35:33.258 --> 00:35:33.933] doctor
[00:35:34.372 --> 00:35:35.722] doctor
[00:35:36.633 --> 00:35:38.624] doctor
[00:35:39.502 --> 00:35:43.889] doctor
[00:35:46.353 --> 00:35:46.977] doctor
[00:35:50.656 --> 00:35:51.213] doctor
[00:35:51.972 --> 00:35:52.647] doctor
[00:35:54.453 --> 00:35:55.195] doctor
[00:35:55.330 --> 00:35:58.081] doctor
[00:35:59.482 --> 00:36:01.743] doctor
[00:35:59.853 --> 00:36:00.697] patient_1
[00:36:01.760 --> 00:36:02.283] doctor
[00:36:02.772 --> 00:36:03.228] doctor
[00:36:03.532 --> 00:36:05.978] doctor
[00:36:03.700 --> 00:36:04.105] patient_1
[00:36:06.468 --> 00:36:08.527] doctor
[00:36:09.539 --> 00:36:10.383] doctor
[00:36:11.581 --> 00:36:18.719] doctor
[00:36:19.816 --> 00:36:21.031] doctor
[00:36:31.966 --> 00:36:32.675] doctor
[00:36:33.670 --> 00:36:34.227] patient_1
[00:36:35.678 --> 00:36:37.855] doctor
[00:36:36.168 --> 00:36:37.383] patient_1
[00:36:39.104 --> 00:36:41.888] doctor
[00:36:40.522 --> 00:36:50.495] patient_1
[00:36:45.162 --> 00:37:00.485] doctor
[00:36:52.402 --> 00:36:55.051] patient_1
[00:36:56.030 --> 00:36:57.599] patient_1
[00:36:58.662 --> 00:37:04.602] patient_1
[00:37:05.193 --> 00:37:07.673] doctor
[00:37:06.745 --> 00:37:08.062] patient_1
[00:37:08.062 --> 00:37:10.475] doctor
[00:37:10.019 --> 00:37:14.812] patient_1
[00:37:14.305 --> 00:37:17.883] doctor
[00:37:17.883 --> 00:37:19.739] patient_1
[00:37:19.537 --> 00:37:20.515] doctor
[00:37:21.764 --> 00:37:23.350] doctor
[00:37:23.350 --> 00:37:24.987] patient_1
[00:37:24.987 --> 00:37:25.747] doctor
[00:37:25.747 --> 00:37:26.978] patient_1
[00:37:28.025 --> 00:37:29.020] patient_1
[00:37:29.257 --> 00:37:31.754] patient_1
[00:37:32.142 --> 00:37:32.699] patient_1
[00:37:32.733 --> 00:37:35.163] patient_1
[00:37:36.310 --> 00:37:39.601] doctor
[00:37:40.748 --> 00:37:43.499] doctor
[00:37:53.928 --> 00:37:55.531] doctor
[00:37:56.780 --> 00:37:59.716] doctor
[00:37:57.978 --> 00:37:58.687] patient_1
[00:38:00.965 --> 00:38:08.947] doctor
[00:38:01.133 --> 00:38:01.893] patient_1
[00:38:03.732 --> 00:38:04.660] patient_1
