================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۰۹_۱۳۰۰۰۰.wav
Total Speakers: 5 (doctor, patient_1, patient_2, patient_3, patient_4)
Total Turns   : 1661
================================================================================

[00:32:49.220 --> 00:32:52.105] doctor
[00:32:51.650 --> 00:32:52.072] patient_2
[00:32:52.105 --> 00:32:52.477] patient_2
[00:32:52.595 --> 00:32:54.029] patient_2
[00:39:29.879 --> 00:39:35.397] doctor
[00:42:10.070 --> 00:42:12.787] doctor
[00:45:07.017 --> 00:45:16.028] patient_4
[00:45:17.108 --> 00:45:18.880] patient_3
[00:45:19.370 --> 00:45:20.315] patient_1
[00:45:19.505 --> 00:45:20.703] patient_3
[00:45:20.872 --> 00:45:27.031] patient_3
[00:45:25.765 --> 00:45:31.486] patient_1
[00:48:46.240 --> 00:48:47.405] doctor
[00:48:47.978 --> 00:48:48.856] doctor
[00:48:52.298 --> 00:48:53.024] doctor
[00:49:00.584 --> 00:49:02.879] patient_1
[00:49:03.503 --> 00:49:05.157] patient_1
[00:49:06.693 --> 00:49:09.038] patient_2
[00:49:51.580 --> 00:49:55.968] patient_4
[00:49:52.947 --> 00:49:54.972] patient_2
[00:49:55.968 --> 00:49:58.567] patient_2
[00:51:45.972 --> 00:51:47.035] patient_4
[00:51:53.920 --> 00:51:54.882] patient_4
[00:51:59.827 --> 00:52:03.910] patient_4
[00:52:05.598 --> 00:52:06.037] patient_4
[00:52:06.037 --> 00:52:10.070] patient_2
[00:52:10.357 --> 00:52:16.128] patient_2
[00:52:12.736 --> 00:52:13.985] patient_1
[00:52:18.052 --> 00:52:22.034] patient_1
[00:52:23.198 --> 00:52:25.038] patient_1
[00:52:49.287 --> 00:52:50.030] patient_3
[00:52:50.485 --> 00:52:51.042] patient_3
[00:52:56.965 --> 00:52:58.417] patient_3
[00:53:14.971 --> 00:53:16.034] patient_3
[00:53:17.080 --> 00:53:18.025] patient_3
[00:53:51.218 --> 00:53:53.598] doctor
[00:54:20.783 --> 00:54:21.458] patient_3
[00:54:23.483 --> 00:54:24.125] patient_3
[00:55:25.040 --> 00:55:25.900] patient_2
[00:57:33.678 --> 00:57:34.505] patient_1
[00:59:55.040 --> 00:59:56.778] doctor
[00:59:56.963 --> 00:59:57.335] doctor
[01:00:18.188 --> 01:00:18.998] doctor
[01:00:20.332 --> 01:00:24.010] doctor
[01:00:25.107 --> 01:00:26.238] doctor
[01:00:41.223 --> 01:00:41.999] doctor
[01:00:54.807 --> 01:00:55.921] doctor
[01:00:56.208 --> 01:00:57.828] doctor
[01:00:58.250 --> 01:00:59.144] doctor
[01:01:03.143 --> 01:01:03.650] doctor
[01:01:14.095 --> 01:01:15.023] doctor
[01:01:16.171 --> 01:01:20.913] doctor
[01:01:21.385 --> 01:01:22.482] doctor
[01:01:26.684 --> 01:01:28.422] doctor
[01:01:28.777 --> 01:01:39.037] doctor
[01:01:39.053 --> 01:01:40.032] doctor
[01:02:03.792 --> 01:02:04.855] doctor
[01:02:13.377 --> 01:02:15.031] doctor
[01:02:15.520 --> 01:02:15.942] doctor
[01:02:38.318 --> 01:02:41.255] doctor
[01:02:41.356 --> 01:02:42.942] doctor
[01:02:52.966 --> 01:02:55.227] doctor
[01:02:55.514 --> 01:02:55.885] doctor
[01:02:57.303 --> 01:02:58.349] doctor
[01:03:01.201 --> 01:03:01.606] doctor
[01:03:05.977 --> 01:03:06.567] doctor
[01:03:10.803 --> 01:03:13.942] doctor
[01:03:16.372 --> 01:03:16.945] doctor
[01:03:35.727 --> 01:03:36.993] doctor
[01:03:37.668 --> 01:03:39.237] doctor
[01:03:40.081 --> 01:03:40.992] doctor
[01:04:59.174 --> 01:04:59.967] doctor
[01:05:00.031 --> 01:05:02.107] patient_1
[01:05:02.765 --> 01:05:03.608] patient_1
[01:05:04.958 --> 01:05:07.962] patient_1
[01:05:09.008 --> 01:05:09.616] patient_1
[01:05:10.730 --> 01:05:11.168] patient_1
[01:05:13.565 --> 01:05:14.037] patient_1
[01:05:29.748 --> 01:05:30.912] doctor
[01:05:31.857 --> 01:05:47.028] doctor
[01:05:47.973 --> 01:05:50.032] doctor
[01:06:07.447 --> 01:06:08.037] patient_1
[01:07:10.306 --> 01:07:10.863] patient_1
[01:07:11.386 --> 01:07:12.398] patient_1
[01:07:13.968 --> 01:07:14.390] patient_1
[01:07:17.343 --> 01:07:18.035] patient_1
[01:07:45.355 --> 01:07:53.624] doctor
[01:07:54.788 --> 01:07:56.510] doctor
[01:07:59.716 --> 01:08:04.778] patient_1
[01:08:34.141 --> 01:08:36.385] doctor
[01:09:26.133 --> 01:09:26.791] doctor
[01:09:27.989 --> 01:09:28.512] doctor
[01:09:46.855 --> 01:09:47.480] doctor
[01:09:49.370 --> 01:09:49.927] doctor
[01:09:52.171 --> 01:09:58.482] doctor
[01:11:39.931 --> 01:11:40.387] doctor
[01:12:14.305 --> 01:12:15.807] patient_4
[01:12:31.197 --> 01:12:37.660] patient_3
[01:12:46.840 --> 01:12:47.785] patient_2
[01:12:49.490 --> 01:12:50.958] patient_2
[01:12:51.970 --> 01:12:53.742] patient_2
[01:12:56.054 --> 01:12:57.033] patient_1
[01:12:57.083 --> 01:12:57.775] patient_1
[01:15:03.862 --> 01:15:05.026] doctor
[01:31:02.384 --> 01:31:03.953] doctor
[01:31:05.978 --> 01:31:07.548] doctor
[01:31:08.847 --> 01:31:11.750] doctor
[01:31:14.163 --> 01:31:18.128] doctor
[01:31:19.580 --> 01:31:21.284] doctor
[01:31:21.622 --> 01:31:23.647] doctor
[01:31:27.545 --> 01:31:28.169] doctor
[01:32:06.813 --> 01:32:07.218] doctor
[01:32:07.387 --> 01:32:07.808] doctor
[01:32:09.479 --> 01:32:12.702] doctor
[01:32:13.698 --> 01:32:14.120] doctor
[01:32:14.677 --> 01:32:15.976] doctor
[01:32:18.203 --> 01:32:18.963] doctor
[01:32:21.730 --> 01:32:22.270] doctor
[01:33:01.150 --> 01:33:06.820] doctor
[01:33:07.411 --> 01:33:08.693] doctor
[01:33:09.217 --> 01:33:10.027] doctor
[01:34:12.143 --> 01:34:12.633] doctor
[01:34:41.219 --> 01:34:44.898] doctor
[01:34:45.202 --> 01:34:49.673] doctor
[01:34:50.922 --> 01:34:51.597] doctor
[01:34:52.137 --> 01:34:53.977] doctor
[01:35:08.570 --> 01:35:09.042] doctor
[01:35:14.206 --> 01:35:15.353] doctor
[01:35:56.697 --> 01:36:02.030] doctor
[01:35:58.722 --> 01:35:59.583] patient_1
