================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۰۱_۱۴۳۱۰۹.wav
Total Speakers: 7 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5, patient_6)
Total Turns   : 1735
================================================================================

[01:03:07.073 --> 01:03:07.782] patient_1
[01:03:09.250 --> 01:03:10.027] doctor
[01:03:09.301 --> 01:03:13.300] patient_1
[01:03:28.370 --> 01:03:37.432] patient_2
[01:03:37.617 --> 01:03:51.438] patient_2
[01:04:04.533 --> 01:04:05.630] patient_2
[01:04:07.925 --> 01:04:08.988] patient_2
[01:04:40.291 --> 01:04:41.692] patient_2
[01:04:43.565 --> 01:04:47.260] patient_2
[01:04:47.412 --> 01:04:52.711] patient_2
[01:04:53.133 --> 01:04:54.567] patient_2
[01:04:54.753 --> 01:04:56.677] patient_2
[01:04:58.060 --> 01:04:59.967] patient_2
[01:05:00.031 --> 01:05:01.027] doctor
[01:05:01.060 --> 01:05:02.663] doctor
[01:05:02.950 --> 01:05:04.317] doctor
[01:05:04.520 --> 01:05:06.359] doctor
[01:05:44.193 --> 01:05:45.560] doctor
[01:05:45.712 --> 01:05:48.682] doctor
[01:05:48.935 --> 01:05:52.597] doctor
[01:05:53.879 --> 01:05:55.887] doctor
[01:05:56.242 --> 01:05:56.900] doctor
[01:06:18.331 --> 01:06:19.748] doctor
[01:06:20.052 --> 01:06:22.533] doctor
[01:06:22.651 --> 01:06:25.115] doctor
[01:06:51.305 --> 01:06:53.465] doctor
[01:06:53.532 --> 01:06:54.848] doctor
[01:06:56.350 --> 01:06:57.650] doctor
[01:06:58.595 --> 01:07:01.025] doctor
[01:07:03.303 --> 01:07:04.754] doctor
[01:07:06.458 --> 01:07:16.651] doctor
[01:07:16.735 --> 01:07:20.684] doctor
[01:07:21.646 --> 01:07:23.013] doctor
[01:07:44.967 --> 01:07:45.322] doctor
[01:07:47.363 --> 01:07:48.038] doctor
[01:07:48.967 --> 01:07:49.422] doctor
[01:08:29.146 --> 01:08:32.960] doctor
[01:08:35.963 --> 01:08:36.824] doctor
[01:08:42.292 --> 01:08:43.237] doctor
[01:08:44.958 --> 01:08:46.190] doctor
[01:09:37.439 --> 01:09:37.912] doctor
[01:09:37.962 --> 01:09:39.025] doctor
[01:09:47.969 --> 01:09:48.340] doctor
[01:09:48.796 --> 01:09:49.657] doctor
[01:09:50.956 --> 01:09:59.967] doctor
[01:10:00.031 --> 01:10:00.689] doctor
[01:10:00.976 --> 01:10:03.541] doctor
[01:10:04.739 --> 01:10:06.595] doctor
[01:10:10.122 --> 01:10:59.093] doctor
[01:11:00.950 --> 01:11:03.397] doctor
[01:11:06.738 --> 01:11:27.038] doctor
[01:11:11.513 --> 01:11:12.087] patient_1
[01:11:58.257 --> 01:11:59.337] doctor
[01:12:15.065 --> 01:12:35.517] doctor
[01:12:36.479 --> 01:12:48.376] doctor
[01:12:48.983 --> 01:12:49.827] doctor
[01:12:50.519 --> 01:12:56.071] doctor
[01:12:56.965 --> 01:13:02.804] doctor
[01:13:03.175 --> 01:13:09.233] doctor
[01:13:09.318 --> 01:13:15.207] doctor
[01:13:15.292 --> 01:13:16.456] doctor
[01:13:16.777 --> 01:13:19.561] doctor
[01:13:20.489 --> 01:13:24.353] doctor
[01:13:24.893 --> 01:13:38.528] doctor
[01:13:41.802 --> 01:13:43.287] doctor
[01:13:44.975 --> 01:13:46.814] doctor
[01:13:46.983 --> 01:13:48.603] doctor
[01:13:51.117 --> 01:13:52.771] doctor
[01:13:53.227 --> 01:13:57.023] doctor
[01:14:53.572 --> 01:14:55.580] doctor
[01:14:56.356 --> 01:14:59.967] doctor
[01:15:00.031 --> 01:15:01.043] doctor
[01:15:01.060 --> 01:15:02.630] doctor
[01:15:03.760 --> 01:15:05.532] doctor
[01:15:06.477 --> 01:15:06.848] doctor
[01:15:24.398 --> 01:15:25.715] doctor
[01:15:27.082 --> 01:15:32.077] doctor
[01:15:33.933 --> 01:15:38.995] doctor
[01:15:39.485 --> 01:15:40.902] doctor
[01:15:41.425 --> 01:15:42.742] doctor
[01:15:44.446 --> 01:15:45.863] doctor
[01:17:05.092 --> 01:17:08.787] doctor
[01:17:09.800 --> 01:17:13.833] doctor
[01:17:14.626 --> 01:17:18.457] doctor
[01:17:19.334 --> 01:17:23.232] doctor
[01:17:24.093 --> 01:17:27.890] doctor
[01:17:28.767 --> 01:17:32.682] doctor
[01:17:33.509 --> 01:17:37.373] doctor
[01:17:38.183 --> 01:17:42.115] doctor
[01:17:42.773 --> 01:18:02.703] doctor
[01:18:03.243 --> 01:18:09.959] doctor
[01:18:12.473 --> 01:18:19.679] doctor
[01:18:20.506 --> 01:18:30.327] doctor
[01:18:31.390 --> 01:18:35.474] doctor
[01:18:36.115 --> 01:18:40.418] doctor
[01:18:40.688 --> 01:18:44.030] doctor
[01:19:04.972 --> 01:19:05.326] doctor
[01:19:07.148 --> 01:19:11.182] doctor
[01:19:11.620 --> 01:19:15.923] doctor
[01:19:16.143 --> 01:19:27.196] doctor
[01:19:28.580 --> 01:19:39.667] doctor
[01:19:40.882 --> 01:19:46.636] doctor
[01:19:47.075 --> 01:19:52.897] doctor
[01:19:53.285 --> 01:19:59.967] doctor
[01:20:00.031 --> 01:20:05.178] doctor
[01:20:05.465 --> 01:20:09.295] doctor
[01:20:10.088 --> 01:20:14.375] doctor
[01:20:14.864 --> 01:20:19.032] doctor
[01:20:19.353 --> 01:20:22.677] doctor
[01:20:23.842 --> 01:20:26.913] doctor
[01:20:28.364 --> 01:20:32.515] doctor
[01:20:33.089 --> 01:20:39.215] doctor
[01:20:39.468 --> 01:20:43.028] doctor
[01:20:44.277 --> 01:20:45.037] doctor
[01:21:53.245 --> 01:21:53.887] patient_2
[01:21:56.063 --> 01:21:59.202] patient_1
[01:21:56.249 --> 01:21:57.650] patient_2
[01:21:59.202 --> 01:22:02.206] patient_2
[01:22:00.248 --> 01:22:00.653] patient_1
[01:22:02.206 --> 01:22:04.417] patient_1
[01:22:04.062 --> 01:22:06.762] patient_2
[01:22:05.395 --> 01:22:07.268] patient_1
[01:22:07.673 --> 01:22:08.467] patient_1
[01:22:24.616 --> 01:22:25.105] doctor
[01:25:05.836 --> 01:25:12.822] doctor
[01:25:10.865 --> 01:25:11.827] patient_1
[01:25:14.206 --> 01:25:16.518] doctor
[01:25:20.146 --> 01:25:21.428] doctor
[01:25:22.289 --> 01:25:25.107] doctor
[01:25:22.407 --> 01:25:24.382] patient_1
[01:25:26.592 --> 01:25:32.026] doctor
[01:25:42.927 --> 01:25:49.188] patient_1
[01:25:46.707 --> 01:25:47.112] doctor
[01:25:48.142 --> 01:25:48.597] doctor
[01:25:49.576 --> 01:25:50.588] patient_1
[01:25:52.124 --> 01:25:53.558] patient_1
[01:25:54.908 --> 01:26:02.198] patient_1
[01:26:03.700 --> 01:26:08.678] patient_1
[01:26:09.809 --> 01:26:11.159] patient_1
[01:26:12.070 --> 01:26:13.218] patient_1
[01:26:13.572 --> 01:26:19.293] doctor
[01:26:17.183 --> 01:26:17.892] patient_1
[01:26:19.343 --> 01:26:21.419] patient_1
[01:26:19.799 --> 01:26:28.034] doctor
[01:26:28.304 --> 01:26:31.865] patient_1
[01:26:31.865 --> 01:26:33.367] doctor
[01:26:33.535 --> 01:26:33.923] doctor
[01:26:37.282 --> 01:26:38.733] patient_1
[01:26:38.733 --> 01:26:39.222] doctor
[01:26:41.163 --> 01:26:41.787] patient_1
[01:26:41.720 --> 01:26:46.310] doctor
[01:26:47.643 --> 01:26:51.710] patient_1
[01:26:51.187 --> 01:26:52.182] doctor
[01:26:53.515 --> 01:26:56.384] patient_1
[01:26:56.384 --> 01:27:03.370] doctor
[01:27:04.147 --> 01:27:08.652] doctor
[01:27:08.990 --> 01:27:11.791] doctor
[01:27:12.078 --> 01:27:25.493] doctor
[01:27:23.030 --> 01:27:24.312] patient_1
[01:27:26.978 --> 01:27:38.200] doctor
[01:27:34.032 --> 01:27:35.939] patient_1
[01:27:38.268 --> 01:27:41.963] doctor
[01:27:41.963 --> 01:27:44.917] patient_1
[01:27:50.857 --> 01:27:54.535] patient_1
[01:27:54.670 --> 01:27:56.628] patient_1
[01:27:55.531 --> 01:27:58.349] doctor
[01:27:57.691 --> 01:28:00.847] patient_1
[01:28:00.323 --> 01:28:01.876] doctor
[01:28:02.399 --> 01:28:03.715] doctor
[01:28:03.412 --> 01:28:04.373] patient_1
[01:28:04.053 --> 01:28:04.694] doctor
[01:28:04.964 --> 01:28:06.753] doctor
[01:28:06.753 --> 01:28:09.065] patient_1
[01:28:09.453 --> 01:28:10.010] patient_1
[01:28:10.195 --> 01:28:13.334] doctor
[01:28:12.777 --> 01:28:17.047] patient_1
[01:28:17.823 --> 01:28:20.438] patient_1
[01:28:21.097 --> 01:28:24.961] patient_1
[01:28:25.214 --> 01:28:28.657] doctor
[01:28:41.431 --> 01:28:42.038] patient_1
[01:28:42.123 --> 01:28:49.025] doctor
[01:28:49.784 --> 01:28:52.028] doctor
[01:29:02.272 --> 01:29:03.183] doctor
[01:29:03.976 --> 01:29:04.718] doctor
[01:29:04.887 --> 01:29:05.326] doctor
[01:29:06.423 --> 01:29:36.190] doctor
[01:29:36.190 --> 01:29:37.287] patient_1
[01:29:36.562 --> 01:29:50.888] doctor
[01:29:51.800 --> 01:29:59.967] doctor
[01:30:00.031 --> 01:30:01.043] doctor
[01:30:01.094 --> 01:30:02.174] doctor
[01:30:02.596 --> 01:30:04.807] doctor
[01:30:05.515 --> 01:30:07.523] doctor
[01:30:08.097 --> 01:30:10.325] doctor
[01:30:10.460 --> 01:30:30.676] doctor
