================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۹۱۰_۱۶۰۰۰۰.wav
Total Speakers: 5 (doctor, patient_1, patient_2, patient_3, patient_4)
Total Turns   : 2668
================================================================================

[01:25:08.266 --> 01:25:08.924] doctor
[01:25:08.924 --> 01:25:09.397] patient_1
[01:25:11.253 --> 01:25:12.434] patient_1
[01:25:13.598 --> 01:25:14.628] doctor
[01:25:14.172 --> 01:25:15.303] patient_1
[01:25:16.248 --> 01:25:17.058] patient_1
[01:25:17.328 --> 01:25:21.428] patient_1
[01:25:18.712 --> 01:25:19.150] doctor
[01:25:21.428 --> 01:25:22.407] doctor
[01:25:23.099 --> 01:25:24.618] doctor
[01:25:25.732 --> 01:25:28.229] doctor
[01:25:30.625 --> 01:25:34.220] doctor
[01:25:32.465 --> 01:25:33.410] patient_1
[01:25:34.945 --> 01:25:36.042] doctor
[01:25:36.194 --> 01:25:40.328] doctor
[01:25:37.291 --> 01:25:37.932] patient_1
[01:25:40.430 --> 01:25:41.965] doctor
[01:25:41.965 --> 01:25:47.095] patient_1
[01:25:44.800 --> 01:25:46.268] doctor
[01:25:47.517 --> 01:25:59.127] patient_1
[01:25:58.115 --> 01:26:00.123] doctor
[01:26:00.477 --> 01:26:15.918] doctor
[01:26:16.323 --> 01:26:22.870] patient_1
[01:26:22.870 --> 01:26:28.642] doctor
[01:26:29.688 --> 01:26:32.658] doctor
[01:26:31.510 --> 01:26:36.775] patient_1
[01:26:35.155 --> 01:26:41.737] doctor
[01:26:42.243 --> 01:26:42.682] doctor
[01:26:42.698 --> 01:26:43.964] doctor
[01:26:44.909 --> 01:26:57.532] patient_1
[01:26:45.365 --> 01:26:45.905] doctor
[01:26:50.495 --> 01:26:51.642] doctor
[01:26:55.034 --> 01:26:56.468] doctor
[01:26:58.139 --> 01:27:03.961] patient_1
[01:26:59.472 --> 01:26:59.894] doctor
[01:27:02.172 --> 01:27:02.797] doctor
[01:27:04.518 --> 01:27:05.648] patient_1
[01:27:08.112 --> 01:27:09.395] patient_1
[01:27:09.395 --> 01:27:11.943] doctor
[01:27:11.065 --> 01:27:12.652] patient_1
[01:27:12.837 --> 01:27:14.710] doctor
[01:27:15.638 --> 01:27:16.263] doctor
[01:27:17.140 --> 01:27:18.288] doctor
[01:27:20.397 --> 01:27:27.755] doctor
[01:27:21.562 --> 01:27:22.372] patient_1
[01:27:22.658 --> 01:27:23.654] patient_1
[01:27:28.244 --> 01:27:31.028] doctor
[01:27:29.290 --> 01:27:30.910] patient_1
[01:27:31.957 --> 01:27:33.205] doctor
[01:27:33.475 --> 01:27:34.589] doctor
[01:27:34.792 --> 01:27:35.602] doctor
[01:27:35.669 --> 01:27:37.002] doctor
[01:27:37.070 --> 01:27:37.492] doctor
[01:27:38.555 --> 01:27:39.668] doctor
[01:27:40.107 --> 01:27:41.440] doctor
[01:27:42.048 --> 01:27:42.436] doctor
[01:27:43.280 --> 01:27:43.904] doctor
[01:27:44.107 --> 01:27:45.743] doctor
[01:27:46.199 --> 01:27:50.688] doctor
[01:27:51.025 --> 01:27:51.582] doctor
[01:27:51.903 --> 01:27:52.308] doctor
[01:27:53.523 --> 01:27:57.590] doctor
[01:27:58.332 --> 01:28:00.239] doctor
[01:28:00.290 --> 01:28:10.094] doctor
[01:28:10.853 --> 01:28:12.980] doctor
[01:28:12.980 --> 01:28:16.355] patient_1
[01:28:15.983 --> 01:28:38.242] doctor
[01:28:24.404 --> 01:28:25.079] patient_1
[01:28:31.913 --> 01:28:32.774] patient_1
[01:28:37.027 --> 01:28:37.634] patient_1
[01:28:42.629 --> 01:28:43.675] doctor
[01:28:45.143 --> 01:28:46.038] patient_1
[01:28:47.236 --> 01:29:07.570] doctor
[01:28:52.585 --> 01:28:53.142] patient_1
[01:28:54.037 --> 01:28:54.458] patient_1
[01:28:58.525 --> 01:28:59.032] patient_1
[01:29:05.748 --> 01:29:06.473] patient_1
[01:29:08.583 --> 01:29:14.422] doctor
[01:29:14.422 --> 01:29:20.210] patient_1
[01:29:14.455 --> 01:29:15.350] doctor
[01:29:19.028 --> 01:29:21.712] doctor
[01:29:23.905 --> 01:29:28.107] patient_1
[01:29:25.188 --> 01:29:26.538] doctor
[01:29:32.528 --> 01:29:35.920] patient_1
[01:29:36.292 --> 01:29:44.037] patient_1
[01:29:44.189 --> 01:29:59.967] patient_1
[01:29:44.729 --> 01:29:45.455] doctor
[01:29:47.395 --> 01:29:47.902] doctor
[01:30:00.031 --> 01:30:08.215] patient_2
[01:30:08.553 --> 01:30:17.969] doctor
[01:30:17.969 --> 01:30:29.360] patient_2
[01:30:27.689 --> 01:30:30.203] patient_3
[01:30:35.637 --> 01:30:36.025] patient_3
[01:30:36.025 --> 01:30:36.751] patient_1
[01:30:40.413 --> 01:30:41.797] patient_1
[01:30:43.687 --> 01:30:45.290] patient_1
[01:30:49.475 --> 01:30:50.538] patient_3
[01:30:51.567 --> 01:30:53.677] patient_3
[01:30:51.685 --> 01:30:53.153] doctor
[01:30:53.153 --> 01:30:53.508] patient_2
[01:30:54.098 --> 01:30:54.622] patient_3
[01:30:55.111 --> 01:31:05.793] patient_3
[01:30:56.377 --> 01:30:57.035] doctor
[01:31:05.894 --> 01:31:09.910] patient_3
[01:31:06.907 --> 01:31:08.915] doctor
[01:31:24.322 --> 01:31:28.793] patient_3
[01:31:24.406 --> 01:31:26.532] patient_1
[01:31:26.650 --> 01:31:27.325] patient_1
[01:31:31.139 --> 01:31:35.206] patient_3
[01:31:35.611 --> 01:31:37.771] patient_3
[01:31:38.125 --> 01:31:39.037] patient_3
[01:31:39.037 --> 01:31:41.686] patient_1
[01:31:40.184 --> 01:31:41.821] patient_3
[01:31:41.905 --> 01:31:42.462] patient_1
[01:31:42.901 --> 01:31:52.722] patient_1
[01:31:53.127 --> 01:32:01.278] patient_1
[01:31:55.574 --> 01:31:56.030] patient_3
[01:31:57.616 --> 01:31:58.088] patient_3
[01:32:01.278 --> 01:32:06.998] patient_3
[01:32:08.652 --> 01:32:12.905] patient_3
[01:32:08.973 --> 01:32:09.884] doctor
[01:32:14.778 --> 01:32:18.187] patient_3
[01:32:19.098 --> 01:32:21.258] patient_3
[01:32:29.510 --> 01:32:30.877] patient_3
[01:32:36.158 --> 01:32:38.335] patient_3
[01:32:38.521 --> 01:32:40.242] patient_3
[01:32:40.327 --> 01:32:42.318] patient_3
[01:32:42.554 --> 01:32:43.735] patient_3
[01:32:43.735 --> 01:32:45.608] patient_1
[01:32:43.938 --> 01:32:44.377] patient_3
[01:32:45.608 --> 01:32:48.072] patient_3
[01:32:48.730 --> 01:32:49.928] patient_1
[01:32:55.463 --> 01:32:57.438] patient_3
[01:33:07.192 --> 01:33:07.765] patient_1
[01:33:08.238 --> 01:33:08.744] patient_1
[01:33:09.200 --> 01:33:10.567] patient_1
[01:33:11.107 --> 01:33:13.047] patient_1
[01:33:17.266 --> 01:33:17.738] patient_3
[01:33:24.269 --> 01:33:24.758] patient_3
[01:33:24.758 --> 01:33:25.467] patient_1
[01:33:25.720 --> 01:33:26.176] patient_3
[01:33:26.176 --> 01:33:27.661] patient_1
[01:33:28.488 --> 01:33:29.973] patient_3
[01:33:31.458 --> 01:33:32.740] patient_1
[01:33:32.200 --> 01:33:34.732] patient_3
[01:33:35.272 --> 01:33:36.487] patient_3
[01:33:36.942 --> 01:33:37.313] patient_3
[01:33:37.415 --> 01:33:38.512] patient_3
[01:33:40.064 --> 01:33:47.236] patient_3
[01:33:40.216 --> 01:33:42.494] doctor
[01:33:45.599 --> 01:33:46.342] doctor
[01:33:47.506 --> 01:33:54.256] patient_3
[01:33:48.282 --> 01:33:49.025] patient_1
[01:33:49.025 --> 01:33:50.459] patient_2
[01:33:55.049 --> 01:34:00.027] patient_3
[01:34:00.314 --> 01:34:00.787] patient_2
[01:34:00.449 --> 01:34:01.563] patient_3
[01:34:01.613 --> 01:34:03.858] patient_2
[01:34:04.077 --> 01:34:04.533] patient_3
[01:34:04.533 --> 01:34:05.157] patient_2
[01:34:05.697 --> 01:34:07.773] patient_2
[01:34:06.018 --> 01:34:06.811] patient_3
[01:34:07.334 --> 01:34:07.722] patient_3
[01:34:08.077 --> 01:34:09.038] patient_2
[01:34:08.093 --> 01:34:08.735] patient_3
[01:34:09.325 --> 01:34:10.186] patient_2
[01:34:09.629 --> 01:34:11.165] patient_3
[01:34:11.317 --> 01:34:11.873] patient_3
[01:34:12.110 --> 01:34:19.552] patient_3
[01:34:12.177 --> 01:34:14.303] patient_2
[01:34:14.506 --> 01:34:14.978] patient_2
[01:34:20.767 --> 01:34:21.796] patient_3
[01:34:20.969 --> 01:34:21.408] patient_1
[01:34:22.083 --> 01:34:22.707] patient_3
[01:34:22.201 --> 01:34:22.657] patient_1
[01:34:22.707 --> 01:34:24.833] patient_1
[01:34:26.605 --> 01:34:27.922] patient_3
[01:34:29.018 --> 01:34:35.060] patient_3
[01:34:30.622 --> 01:34:31.111] patient_1
[01:34:32.984 --> 01:34:33.760] patient_1
[01:34:35.363 --> 01:34:44.965] patient_3
[01:34:42.248 --> 01:34:42.755] patient_2
[01:34:42.856 --> 01:34:43.261] patient_2
[01:34:45.505 --> 01:34:46.147] patient_2
[01:34:46.923 --> 01:34:48.188] patient_3
[01:34:48.340 --> 01:34:50.416] patient_3
[01:34:50.753 --> 01:34:53.285] patient_3
[01:34:53.757 --> 01:34:54.567] patient_3
