================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۰۹_۲۰۰۰۳۰.wav
Total Speakers: 6 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5)
Total Turns   : 1532
================================================================================

[00:35:32.043 --> 00:35:34.388] doctor
[00:35:34.793 --> 00:35:38.084] doctor
[00:35:44.480 --> 00:35:46.623] doctor
[00:35:46.657 --> 00:35:49.120] doctor
[00:35:49.964 --> 00:35:54.672] doctor
[00:36:22.820 --> 00:36:30.025] doctor
[00:36:30.413 --> 00:36:31.038] doctor
[00:36:51.912 --> 00:36:55.979] doctor
[00:37:08.973 --> 00:37:09.462] doctor
[00:37:09.800 --> 00:37:12.196] doctor
[00:37:12.247 --> 00:37:15.048] doctor
[00:37:15.807 --> 00:37:18.845] doctor
[00:37:18.963 --> 00:37:21.275] doctor
[00:37:21.713 --> 00:37:34.522] doctor
[00:37:23.131 --> 00:37:24.160] patient_1
[00:37:28.261 --> 00:37:31.028] patient_1
[00:37:41.963 --> 00:37:44.090] doctor
[00:37:44.680 --> 00:37:48.460] doctor
[00:37:51.481 --> 00:37:52.747] doctor
[00:37:56.206 --> 00:38:00.543] doctor
[00:38:01.370 --> 00:38:04.238] doctor
[00:38:04.694 --> 00:38:07.141] doctor
[00:38:07.985 --> 00:38:15.106] doctor
[00:38:15.967 --> 00:38:16.743] doctor
[00:38:20.050 --> 00:38:21.316] doctor
[00:38:56.855 --> 00:38:59.032] doctor
[00:39:01.681 --> 00:39:03.436] doctor
[00:39:16.582 --> 00:39:22.032] doctor
[00:39:52.289 --> 00:39:56.525] doctor
[00:39:56.778 --> 00:39:59.967] doctor
[00:40:00.031 --> 00:40:05.144] doctor
[00:40:08.080 --> 00:40:13.480] doctor
[00:40:13.987 --> 00:40:24.027] doctor
[00:40:39.502 --> 00:40:45.290] doctor
[00:40:40.683 --> 00:40:42.809] patient_1
[00:40:43.467 --> 00:40:43.957] patient_1
[00:40:45.627 --> 00:40:53.525] doctor
[00:40:45.745 --> 00:40:46.437] patient_1
[00:40:58.688 --> 00:41:00.865] doctor
[00:41:04.628 --> 00:41:05.050] doctor
[00:41:05.793 --> 00:41:09.337] doctor
[00:41:12.070 --> 00:41:13.032] doctor
[00:41:13.454 --> 00:41:19.023] doctor
[00:41:19.883 --> 00:41:26.448] doctor
[00:41:26.566 --> 00:41:39.644] doctor
[00:41:28.473 --> 00:41:29.283] patient_1
[00:41:34.733 --> 00:41:35.999] patient_1
[00:41:50.883 --> 00:41:51.254] doctor
[00:41:54.562 --> 00:41:55.490] doctor
