================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۰۶_۲۰۰۰۰۰.wav
Total Speakers: 7 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5, patient_6)
Total Turns   : 1442
================================================================================

[00:38:37.533 --> 00:38:38.900] doctor
[00:38:39.406 --> 00:38:45.582] doctor
[00:38:40.958 --> 00:38:43.085] patient_1
[00:38:47.101 --> 00:38:52.653] doctor
[00:38:53.463 --> 00:38:58.289] doctor
[00:38:58.778 --> 00:39:02.035] doctor
[00:39:02.693 --> 00:39:08.870] doctor
[00:39:07.722 --> 00:39:08.195] patient_1
[00:39:11.620 --> 00:39:12.380] doctor
[00:39:15.738 --> 00:39:16.362] doctor
[00:39:17.780 --> 00:39:23.855] doctor
[00:39:20.480 --> 00:39:20.868] patient_1
[00:39:24.192 --> 00:39:27.061] doctor
[00:39:28.141 --> 00:39:41.371] doctor
[00:39:35.684 --> 00:39:36.832] patient_1
[00:39:37.523 --> 00:39:38.333] patient_1
[00:39:42.535 --> 00:39:55.445] doctor
[00:39:52.812 --> 00:39:53.943] patient_1
[00:40:00.031 --> 00:40:00.588] patient_1
[00:40:06.764 --> 00:40:26.727] patient_1
[00:40:18.357 --> 00:40:18.745] doctor
[00:40:25.141 --> 00:40:25.698] doctor
[00:40:26.947 --> 00:40:27.757] patient_1
[00:40:28.887 --> 00:40:31.030] patient_1
[00:40:31.030 --> 00:40:44.429] doctor
[00:40:45.155 --> 00:40:50.960] doctor
[00:40:59.870 --> 00:41:05.877] doctor
[00:41:05.945 --> 00:41:06.923] doctor
[00:41:06.923 --> 00:41:36.404] patient_1
[00:41:36.742 --> 00:41:42.412] patient_1
[00:41:43.289 --> 00:41:51.811] patient_1
[00:41:52.267 --> 00:41:54.173] patient_1
[00:41:54.173 --> 00:41:55.625] doctor
[00:41:55.625 --> 00:41:57.076] patient_1
[00:41:55.692 --> 00:41:56.924] doctor
[00:41:57.751 --> 00:42:06.526] patient_1
[00:42:01.885 --> 00:42:03.050] doctor
[00:42:07.673 --> 00:42:30.404] patient_1
[00:42:31.771 --> 00:42:38.386] patient_1
[00:42:39.517 --> 00:42:46.081] patient_1
[00:42:42.368 --> 00:42:42.723] doctor
[00:42:48.427 --> 00:42:56.628] patient_1
[00:42:57.505 --> 00:42:59.429] patient_1
[00:43:04.897 --> 00:43:13.722] patient_1
[00:43:08.440 --> 00:43:10.415] doctor
[00:43:13.773 --> 00:43:16.203] patient_1
[00:43:16.625 --> 00:43:21.434] patient_1
[00:43:21.434 --> 00:43:22.565] doctor
[00:43:22.565 --> 00:43:25.079] patient_1
[00:43:22.582 --> 00:43:23.577] doctor
[00:43:26.716 --> 00:43:29.281] patient_1
[00:43:29.855 --> 00:43:33.263] patient_1
[00:43:34.208 --> 00:43:53.075] patient_1
[00:43:43.068 --> 00:43:43.658] doctor
[00:43:45.481 --> 00:43:47.337] doctor
[00:43:53.210 --> 00:43:57.293] doctor
[00:43:54.509 --> 00:43:55.572] patient_1
[00:43:56.483 --> 00:44:04.887] patient_1
[00:44:05.731 --> 00:44:06.271] patient_1
[00:44:08.262 --> 00:44:09.173] patient_1
[00:44:09.663 --> 00:44:20.530] patient_1
[00:44:17.797 --> 00:44:18.826] doctor
[00:44:20.682 --> 00:44:22.083] patient_1
[00:44:22.927 --> 00:44:26.504] patient_1
[00:44:33.389 --> 00:44:35.026] patient_1
[00:44:38.975 --> 00:44:39.464] patient_1
[00:44:40.578 --> 00:44:42.940] patient_1
[00:44:45.404 --> 00:44:48.037] patient_1
[00:45:06.933 --> 00:45:12.147] doctor
[00:45:11.455 --> 00:45:11.962] patient_1
[00:45:12.147 --> 00:45:35.570] patient_1
[00:45:35.890 --> 00:45:51.247] patient_1
[00:45:39.856 --> 00:45:40.700] doctor
[00:45:41.780 --> 00:45:44.294] doctor
[00:45:45.627 --> 00:45:46.724] doctor
[00:45:47.922 --> 00:45:48.952] doctor
[00:45:52.495 --> 00:45:58.064] patient_1
[00:45:58.385 --> 00:45:59.532] patient_1
[00:46:00.292 --> 00:46:05.084] patient_1
[00:46:05.152 --> 00:46:13.893] patient_1
[00:46:05.877 --> 00:46:06.552] doctor
[00:46:19.748 --> 00:46:20.575] doctor
[00:46:21.976 --> 00:46:23.174] doctor
[00:46:30.245 --> 00:46:33.603] doctor
[00:46:33.974 --> 00:46:34.565] patient_1
[00:46:35.122 --> 00:46:41.838] patient_1
[00:46:41.838 --> 00:46:45.601] doctor
[00:47:16.229 --> 00:47:17.393] patient_1
[00:47:17.967 --> 00:47:27.637] doctor
[00:47:28.413 --> 00:47:36.158] doctor
[00:47:36.158 --> 00:48:04.475] patient_1
[00:48:05.183 --> 00:48:10.212] patient_1
[00:48:10.448 --> 00:48:13.064] patient_1
[00:48:11.107 --> 00:48:11.967] doctor
[00:48:12.018 --> 00:48:12.625] doctor
[00:48:14.330 --> 00:48:23.307] patient_1
[00:48:23.425 --> 00:48:27.796] doctor
[00:48:26.885 --> 00:48:44.350] patient_1
[00:48:27.982 --> 00:48:28.336] doctor
[00:48:30.530 --> 00:48:31.070] doctor
[00:48:33.601 --> 00:48:34.833] doctor
[00:48:37.246 --> 00:48:38.697] doctor
[00:48:44.418 --> 00:48:44.992] patient_1
[00:48:44.992 --> 00:48:45.515] doctor
[00:48:45.515 --> 00:49:08.195] patient_1
[00:49:01.040 --> 00:49:02.272] doctor
[00:49:08.988 --> 00:49:27.213] patient_1
[00:49:12.008 --> 00:49:12.548] doctor
[00:49:28.107 --> 00:49:42.569] patient_1
[00:49:29.592 --> 00:49:30.402] doctor
[00:49:41.219 --> 00:49:41.624] doctor
[00:49:43.328 --> 00:49:57.250] patient_1
[00:49:53.943 --> 00:49:59.967] doctor
[00:50:01.111 --> 00:50:03.035] doctor
[00:50:03.997 --> 00:50:06.798] doctor
[00:50:12.991 --> 00:50:14.358] doctor
[00:50:14.678 --> 00:50:17.446] doctor
[00:50:17.800 --> 00:50:19.403] doctor
[00:50:19.488 --> 00:50:23.015] doctor
[00:50:20.652 --> 00:50:21.057] patient_1
[00:50:23.470 --> 00:50:25.360] doctor
[00:50:26.120 --> 00:50:27.672] doctor
[00:50:27.925 --> 00:50:29.647] doctor
[00:50:29.680 --> 00:50:30.068] doctor
[00:50:30.288 --> 00:50:33.241] doctor
[00:50:30.625 --> 00:50:31.840] patient_1
[00:50:34.996 --> 00:50:36.818] doctor
[00:50:52.462 --> 00:50:53.339] doctor
[00:51:02.823 --> 00:51:03.903] doctor
[00:51:04.274 --> 00:51:05.236] doctor
[00:51:05.692 --> 00:51:06.468] doctor
[00:51:07.970 --> 00:51:08.965] doctor
[00:51:28.169 --> 00:51:31.983] doctor
[00:51:33.181 --> 00:51:38.142] doctor
[00:51:34.919 --> 00:51:35.324] patient_1
[00:51:36.860 --> 00:51:37.889] patient_1
[00:51:38.243 --> 00:51:39.813] doctor
[00:51:40.994 --> 00:51:43.525] doctor
[00:51:44.909 --> 00:51:48.014] doctor
[00:51:47.035 --> 00:51:47.474] patient_1
[00:51:52.773 --> 00:51:54.393] doctor
[00:51:54.612 --> 00:51:55.085] doctor
[00:51:57.751 --> 00:52:00.029] doctor
[00:52:00.974 --> 00:52:04.147] doctor
[00:52:04.366 --> 00:52:05.598] doctor
[00:52:06.830 --> 00:52:16.685] doctor
[00:52:17.157 --> 00:52:17.512] doctor
[00:52:18.136 --> 00:52:27.367] doctor
[00:52:22.304 --> 00:52:23.317] patient_1
[00:52:27.417 --> 00:52:33.998] doctor
[00:52:27.468 --> 00:52:28.109] patient_1
[00:52:34.471 --> 00:52:35.703] doctor
[00:52:37.897 --> 00:52:38.420] doctor
[00:52:39.770 --> 00:52:40.732] doctor
[00:52:41.305 --> 00:52:42.048] doctor
[00:52:42.841 --> 00:52:43.735] doctor
[00:52:45.558 --> 00:52:46.807] doctor
[00:52:56.088 --> 00:52:57.033] doctor
[00:53:08.930 --> 00:53:16.777] doctor
[00:53:17.266 --> 00:53:24.033] doctor
[00:53:18.953 --> 00:53:19.932] patient_1
[00:53:24.607 --> 00:53:27.425] doctor
[00:53:25.501 --> 00:53:26.817] patient_1
[00:53:28.302 --> 00:53:29.855] doctor
[00:53:30.158 --> 00:53:37.516] doctor
[00:53:30.327 --> 00:53:30.833] patient_1
[00:53:32.774 --> 00:53:33.331] patient_1
[00:53:42.950 --> 00:53:48.552] doctor
[00:53:45.515 --> 00:53:46.072] patient_1
[00:53:58.458 --> 00:54:05.039] doctor
[00:54:05.663 --> 00:54:07.537] doctor
[00:54:14.202 --> 00:54:14.607] doctor
[00:54:16.582 --> 00:54:17.527] doctor
[00:54:18.404 --> 00:54:19.552] doctor
[00:54:19.653 --> 00:54:21.982] doctor
[00:54:22.420 --> 00:54:23.213] doctor
[00:54:23.315 --> 00:54:24.226] doctor
[00:54:25.660 --> 00:54:26.723] doctor
[00:54:27.517 --> 00:54:28.428] doctor
[00:54:29.812 --> 00:54:30.841] doctor
[00:54:35.971 --> 00:54:41.962] doctor
[00:54:42.451 --> 00:54:44.037] doctor
[00:54:44.172 --> 00:54:45.033] doctor
[00:54:46.147 --> 00:54:47.497] doctor
[00:54:50.753 --> 00:54:59.967] doctor
[00:55:00.031 --> 00:55:07.692] doctor
[00:55:05.380 --> 00:55:06.038] patient_1
[00:55:08.536 --> 00:55:10.038] doctor
[00:55:29.832 --> 00:55:30.322] doctor
[00:55:44.058 --> 00:55:44.716] doctor
[00:55:46.420 --> 00:55:47.821] doctor
[00:55:48.412 --> 00:55:53.170] doctor
[00:55:53.963 --> 00:55:56.478] doctor
[00:55:56.866 --> 00:55:58.435] doctor
[00:55:58.722 --> 00:56:10.872] doctor
[00:55:59.060 --> 00:55:59.802] patient_1
[00:56:02.452 --> 00:56:07.396] patient_1
[00:56:08.189 --> 00:56:10.012] patient_1
[00:56:11.210 --> 00:56:13.960] doctor
[00:56:17.825 --> 00:56:21.200] doctor
[00:56:21.487 --> 00:56:22.735] doctor
[00:56:23.191 --> 00:56:25.402] doctor
[00:56:25.840 --> 00:56:26.212] doctor
[00:56:30.920 --> 00:56:32.506] doctor
[00:56:33.518 --> 00:56:35.358] doctor
[00:56:36.083 --> 00:56:42.817] doctor
[00:56:45.601 --> 00:56:48.385] doctor
[00:56:48.571 --> 00:56:49.263] doctor
[00:56:49.735 --> 00:56:51.338] doctor
[00:56:49.769 --> 00:56:50.883] patient_1
[00:56:51.929 --> 00:56:53.279] doctor
[00:57:01.615 --> 00:57:03.151] doctor
[00:57:03.556 --> 00:57:03.927] doctor
[00:57:04.754 --> 00:57:08.332] doctor
[00:57:08.534 --> 00:57:09.698] doctor
[00:57:12.112 --> 00:57:17.933] doctor
[00:57:21.882 --> 00:57:34.572] doctor
[00:57:35.163 --> 00:57:35.669] doctor
[00:57:36.361 --> 00:57:37.694] doctor
[00:57:39.517 --> 00:57:42.453] doctor
[00:57:43.212 --> 00:57:43.870] doctor
[00:57:44.900 --> 00:57:47.026] doctor
[00:57:49.169 --> 00:57:55.666] doctor
